	Item	Quantity	Expiration_Date	Cost_Per_Unit	Date
519	Soy Sauce	349	2025-04-08	10	2025-02-08
520	Water	487	2025-03-26	10	2025-02-08
521	Chocolate Cake	496	2025-02-22	150	2025-02-08
522	Vanilla Cake	343	2025-02-19	150	2025-02-08
523	Black Forest Cake	430	2025-02-16	150	2025-02-08
524	Pineapple Cake	106	2025-02-17	150	2025-02-08
525	Red Velvet Cake	86	2025-02-21	150	2025-02-08
526	Milk	266	2025-02-10	45	2025-02-08
527	Curd	75	2025-02-09	45	2025-02-08
528	Paneer	445	2025-02-11	45	2025-02-08
529	Butter	352	2025-02-09	45	2025-02-08
530	Cheese	257	2025-02-09	45	2025-02-08
531	Samosa	212	2025-02-18	15	2025-02-08
532	Kachori	496	2025-02-18	15	2025-02-08
533	Dhokla	269	2025-02-15	15	2025-02-08
534	Vada Pav	318	2025-02-22	15	2025-02-08
535	Pani Puri	265	2025-02-18	15	2025-02-08
536	Cookies	61	2025-02-16	10	2025-02-08
537	Masala Puri	77	2025-02-17	15	2025-02-08
538	Samosa Chaat	396	2025-02-16	15	2025-02-08
539	Small Mixture	187	2025-02-16	10	2025-02-08
540	Tomato Ketchup	407	2025-04-07	10	2025-02-08
541	Milk Bread	363	2025-02-23	20	2025-02-09
542	Brown Bread	426	2025-02-20	20	2025-02-09
543	Multigrain Bread	469	2025-02-17	20	2025-02-09
544	Pav Bun	426	2025-02-21	20	2025-02-09
545	Plain Cake	404	2025-02-17	150	2025-02-09
546	Chilli Sauce	459	2025-04-04	10	2025-02-09
547	Rasgulla	331	2025-02-12	35	2025-02-09
548	Jalebi	124	2025-02-10	35	2025-02-09
549	Soy Sauce	250	2025-03-13	10	2025-02-09
550	Water	290	2025-03-28	10	2025-02-09
551	Chocolate Cake	57	2025-02-17	150	2025-02-09
552	Vanilla Cake	52	2025-02-20	150	2025-02-09
553	Black Forest Cake	466	2025-02-19	150	2025-02-09
554	Pineapple Cake	56	2025-02-23	150	2025-02-09
555	Red Velvet Cake	468	2025-02-21	150	2025-02-09
556	Milk	206	2025-02-10	45	2025-02-09
557	Curd	448	2025-02-12	45	2025-02-09
558	Paneer	323	2025-02-12	45	2025-02-09
559	Butter	418	2025-02-11	45	2025-02-09
560	Cheese	366	2025-02-10	45	2025-02-09
561	Samosa	317	2025-02-17	15	2025-02-09
562	Kachori	283	2025-02-20	15	2025-02-09
563	Dhokla	431	2025-02-22	15	2025-02-09
564	Vada Pav	300	2025-02-19	15	2025-02-09
565	Pani Puri	93	2025-02-19	15	2025-02-09
566	Cookies	147	2025-02-22	10	2025-02-09
567	Masala Puri	237	2025-02-20	15	2025-02-09
568	Samosa Chaat	198	2025-02-19	15	2025-02-09
569	Small Mixture	95	2025-02-22	10	2025-02-09
570	Tomato Ketchup	426	2025-03-16	10	2025-02-09
571	Milk Bread	296	2025-02-18	20	2025-02-10
572	Brown Bread	470	2025-02-19	20	2025-02-10
573	Multigrain Bread	487	2025-02-19	20	2025-02-10
574	Pav Bun	298	2025-02-20	20	2025-02-10
575	Plain Cake	185	2025-02-21	150	2025-02-10
576	Chilli Sauce	143	2025-04-02	10	2025-02-10
577	Rasgulla	152	2025-02-12	35	2025-02-10
578	Jalebi	307	2025-02-13	35	2025-02-10
579	Soy Sauce	140	2025-03-16	10	2025-02-10
580	Water	339	2025-04-06	10	2025-02-10
581	Chocolate Cake	132	2025-02-17	150	2025-02-10
582	Vanilla Cake	336	2025-02-22	150	2025-02-10
583	Black Forest Cake	398	2025-02-23	150	2025-02-10
584	Pineapple Cake	375	2025-02-19	150	2025-02-10
585	Red Velvet Cake	330	2025-02-24	150	2025-02-10
586	Milk	460	2025-02-13	45	2025-02-10
587	Curd	54	2025-02-11	45	2025-02-10
588	Paneer	483	2025-02-12	45	2025-02-10
589	Butter	480	2025-02-13	45	2025-02-10
590	Cheese	307	2025-02-11	45	2025-02-10
591	Samosa	273	2025-02-21	15	2025-02-10
592	Kachori	60	2025-02-20	15	2025-02-10
593	Dhokla	448	2025-02-21	15	2025-02-10
594	Vada Pav	419	2025-02-22	15	2025-02-10
595	Pani Puri	269	2025-02-18	15	2025-02-10
596	Cookies	172	2025-02-20	10	2025-02-10
597	Masala Puri	82	2025-02-20	15	2025-02-10
598	Samosa Chaat	296	2025-02-17	15	2025-02-10
599	Small Mixture	446	2025-02-23	10	2025-02-10
600	Tomato Ketchup	187	2025-04-01	10	2025-02-10
601	Milk Bread	211	2025-02-19	20	2025-02-11
602	Brown Bread	330	2025-02-22	20	2025-02-11
603	Multigrain Bread	499	2025-02-19	20	2025-02-11
604	Pav Bun	431	2025-02-20	20	2025-02-11
605	Plain Cake	486	2025-02-23	150	2025-02-11
606	Chilli Sauce	315	2025-04-10	10	2025-02-11
607	Rasgulla	259	2025-02-13	35	2025-02-11
608	Jalebi	405	2025-02-13	35	2025-02-11
609	Soy Sauce	397	2025-04-05	10	2025-02-11
610	Water	445	2025-03-25	10	2025-02-11
611	Chocolate Cake	320	2025-02-23	150	2025-02-11
612	Vanilla Cake	90	2025-02-25	150	2025-02-11
613	Black Forest Cake	193	2025-02-18	150	2025-02-11
614	Pineapple Cake	375	2025-02-20	150	2025-02-11
615	Red Velvet Cake	354	2025-02-22	150	2025-02-11
616	Milk	217	2025-02-12	45	2025-02-11
617	Curd	99	2025-02-14	45	2025-02-11
618	Paneer	414	2025-02-13	45	2025-02-11
619	Butter	404	2025-02-13	45	2025-02-11
620	Cheese	352	2025-02-14	45	2025-02-11
621	Samosa	260	2025-02-24	15	2025-02-11
622	Kachori	442	2025-02-20	15	2025-02-11
623	Dhokla	75	2025-02-22	15	2025-02-11
624	Vada Pav	104	2025-02-20	15	2025-02-11
625	Pani Puri	282	2025-02-20	15	2025-02-11
626	Cookies	204	2025-02-18	10	2025-02-11
627	Masala Puri	151	2025-02-18	15	2025-02-11
628	Samosa Chaat	469	2025-02-19	15	2025-02-11
629	Small Mixture	97	2025-02-24	10	2025-02-11
630	Tomato Ketchup	176	2025-03-25	10	2025-02-11
631	Milk Bread	232	2025-02-20	20	2025-02-12
632	Brown Bread	495	2025-02-23	20	2025-02-12
633	Multigrain Bread	288	2025-02-23	20	2025-02-12
634	Pav Bun	498	2025-02-26	20	2025-02-12
635	Plain Cake	138	2025-02-26	150	2025-02-12
636	Chilli Sauce	256	2025-04-12	10	2025-02-12
637	Rasgulla	274	2025-02-13	35	2025-02-12
638	Jalebi	257	2025-02-13	35	2025-02-12
639	Soy Sauce	130	2025-04-03	10	2025-02-12
640	Water	295	2025-04-10	10	2025-02-12
641	Chocolate Cake	156	2025-02-26	150	2025-02-12
642	Vanilla Cake	453	2025-02-25	150	2025-02-12
643	Black Forest Cake	286	2025-02-25	150	2025-02-12
644	Pineapple Cake	344	2025-02-20	150	2025-02-12
645	Red Velvet Cake	249	2025-02-20	150	2025-02-12
646	Milk	159	2025-02-14	45	2025-02-12
647	Curd	309	2025-02-15	45	2025-02-12
648	Paneer	499	2025-02-15	45	2025-02-12
649	Butter	300	2025-02-15	45	2025-02-12
650	Cheese	330	2025-02-13	45	2025-02-12
651	Samosa	237	2025-02-22	15	2025-02-12
652	Kachori	153	2025-02-26	15	2025-02-12
653	Dhokla	399	2025-02-24	15	2025-02-12
654	Vada Pav	103	2025-02-20	15	2025-02-12
655	Pani Puri	479	2025-02-19	15	2025-02-12
656	Cookies	356	2025-02-25	10	2025-02-12
657	Masala Puri	389	2025-02-24	15	2025-02-12
658	Samosa Chaat	262	2025-02-26	15	2025-02-12
659	Small Mixture	375	2025-02-21	10	2025-02-12
660	Tomato Ketchup	498	2025-04-05	10	2025-02-12
661	Milk Bread	182	2025-02-27	20	2025-02-13
662	Brown Bread	174	2025-02-21	20	2025-02-13
663	Multigrain Bread	418	2025-02-22	20	2025-02-13
664	Pav Bun	304	2025-02-27	20	2025-02-13
665	Plain Cake	233	2025-02-24	150	2025-02-13
666	Chilli Sauce	446	2025-04-09	10	2025-02-13
667	Rasgulla	113	2025-02-16	35	2025-02-13
668	Jalebi	214	2025-02-15	35	2025-02-13
669	Soy Sauce	249	2025-04-03	10	2025-02-13
670	Water	495	2025-03-24	10	2025-02-13
671	Chocolate Cake	195	2025-02-27	150	2025-02-13
672	Vanilla Cake	353	2025-02-20	150	2025-02-13
673	Black Forest Cake	210	2025-02-22	150	2025-02-13
674	Pineapple Cake	222	2025-02-21	150	2025-02-13
675	Red Velvet Cake	460	2025-02-20	150	2025-02-13
676	Milk	279	2025-02-14	45	2025-02-13
677	Curd	103	2025-02-15	45	2025-02-13
678	Paneer	132	2025-02-14	45	2025-02-13
679	Butter	358	2025-02-14	45	2025-02-13
680	Cheese	245	2025-02-14	45	2025-02-13
681	Samosa	286	2025-02-25	15	2025-02-13
682	Kachori	50	2025-02-20	15	2025-02-13
683	Dhokla	337	2025-02-22	15	2025-02-13
684	Vada Pav	443	2025-02-24	15	2025-02-13
685	Pani Puri	237	2025-02-27	15	2025-02-13
686	Cookies	251	2025-02-27	10	2025-02-13
687	Masala Puri	70	2025-02-22	15	2025-02-13
688	Samosa Chaat	244	2025-02-21	15	2025-02-13
689	Small Mixture	287	2025-02-26	10	2025-02-13
690	Tomato Ketchup	220	2025-03-22	10	2025-02-13
691	Milk Bread	326	2025-02-24	20	2025-02-14
692	Brown Bread	178	2025-02-24	20	2025-02-14
693	Multigrain Bread	496	2025-02-21	20	2025-02-14
694	Pav Bun	117	2025-02-21	20	2025-02-14
695	Plain Cake	235	2025-02-26	150	2025-02-14
696	Chilli Sauce	103	2025-03-21	10	2025-02-14
697	Rasgulla	492	2025-02-16	35	2025-02-14
698	Jalebi	134	2025-02-16	35	2025-02-14
699	Soy Sauce	149	2025-04-08	10	2025-02-14
700	Water	383	2025-04-03	10	2025-02-14
701	Chocolate Cake	222	2025-02-22	150	2025-02-14
702	Vanilla Cake	427	2025-02-23	150	2025-02-14
703	Black Forest Cake	103	2025-02-21	150	2025-02-14
704	Pineapple Cake	122	2025-02-25	150	2025-02-14
705	Red Velvet Cake	107	2025-02-21	150	2025-02-14
706	Milk	374	2025-02-15	45	2025-02-14
707	Curd	66	2025-02-16	45	2025-02-14
708	Paneer	379	2025-02-16	45	2025-02-14
709	Butter	408	2025-02-17	45	2025-02-14
710	Cheese	247	2025-02-15	45	2025-02-14
711	Samosa	241	2025-02-24	15	2025-02-14
712	Kachori	280	2025-02-23	15	2025-02-14
713	Dhokla	101	2025-02-24	15	2025-02-14
714	Vada Pav	129	2025-02-28	15	2025-02-14
715	Pani Puri	214	2025-02-26	15	2025-02-14
716	Cookies	475	2025-02-26	10	2025-02-14
717	Masala Puri	286	2025-02-22	15	2025-02-14
718	Samosa Chaat	459	2025-02-28	15	2025-02-14
719	Small Mixture	70	2025-02-24	10	2025-02-14
720	Tomato Ketchup	161	2025-03-25	10	2025-02-14
721	Milk Bread	241	2025-02-24	20	2025-02-15
722	Brown Bread	230	2025-02-25	20	2025-02-15
723	Multigrain Bread	211	2025-02-28	20	2025-02-15
724	Pav Bun	496	2025-02-23	20	2025-02-15
725	Plain Cake	433	2025-02-25	150	2025-02-15
726	Chilli Sauce	282	2025-04-15	10	2025-02-15
727	Rasgulla	281	2025-02-17	35	2025-02-15
728	Jalebi	260	2025-02-18	35	2025-02-15
729	Soy Sauce	482	2025-03-31	10	2025-02-15
730	Water	62	2025-04-06	10	2025-02-15
731	Chocolate Cake	402	2025-02-22	150	2025-02-15
732	Vanilla Cake	459	2025-02-23	150	2025-02-15
733	Black Forest Cake	382	2025-02-22	150	2025-02-15
734	Pineapple Cake	303	2025-02-22	150	2025-02-15
735	Red Velvet Cake	257	2025-02-23	150	2025-02-15
736	Milk	233	2025-02-16	45	2025-02-15
737	Curd	91	2025-02-16	45	2025-02-15
738	Paneer	76	2025-02-16	45	2025-02-15
739	Butter	92	2025-02-18	45	2025-02-15
740	Cheese	176	2025-02-18	45	2025-02-15
741	Samosa	141	2025-02-23	15	2025-02-15
742	Kachori	248	2025-02-27	15	2025-02-15
743	Dhokla	207	2025-02-27	15	2025-02-15
744	Vada Pav	93	2025-02-27	15	2025-02-15
745	Pani Puri	320	2025-02-22	15	2025-02-15
746	Cookies	496	2025-02-26	10	2025-02-15
747	Masala Puri	480	2025-02-26	15	2025-02-15
748	Samosa Chaat	341	2025-02-28	15	2025-02-15
749	Small Mixture	58	2025-03-01	10	2025-02-15
750	Tomato Ketchup	390	2025-04-04	10	2025-02-15
751	Milk Bread	100	2025-02-25	20	2025-02-16
752	Brown Bread	448	2025-02-25	20	2025-02-16
753	Multigrain Bread	373	2025-02-25	20	2025-02-16
754	Pav Bun	269	2025-02-24	20	2025-02-16
755	Plain Cake	430	2025-02-23	150	2025-02-16
756	Chilli Sauce	450	2025-04-10	10	2025-02-16
757	Rasgulla	69	2025-02-18	35	2025-02-16
758	Jalebi	292	2025-02-18	35	2025-02-16
759	Soy Sauce	254	2025-04-15	10	2025-02-16
760	Water	109	2025-04-01	10	2025-02-16
761	Chocolate Cake	137	2025-02-26	150	2025-02-16
762	Vanilla Cake	444	2025-02-27	150	2025-02-16
763	Black Forest Cake	218	2025-02-24	150	2025-02-16
764	Pineapple Cake	486	2025-02-26	150	2025-02-16
765	Red Velvet Cake	135	2025-02-24	150	2025-02-16
766	Milk	305	2025-02-19	45	2025-02-16
767	Curd	384	2025-02-18	45	2025-02-16
768	Paneer	352	2025-02-18	45	2025-02-16
769	Butter	390	2025-02-19	45	2025-02-16
770	Cheese	122	2025-02-19	45	2025-02-16
771	Samosa	250	2025-02-27	15	2025-02-16
772	Kachori	349	2025-02-27	15	2025-02-16
773	Dhokla	269	2025-02-23	15	2025-02-16
774	Vada Pav	355	2025-02-25	15	2025-02-16
775	Pani Puri	114	2025-02-24	15	2025-02-16
776	Cookies	295	2025-02-25	10	2025-02-16
777	Masala Puri	232	2025-02-25	15	2025-02-16
778	Samosa Chaat	70	2025-02-24	15	2025-02-16
779	Small Mixture	450	2025-02-27	10	2025-02-16
780	Tomato Ketchup	150	2025-04-13	10	2025-02-16
781	Milk Bread	412	2025-03-02	20	2025-02-17
782	Brown Bread	431	2025-02-27	20	2025-02-17
783	Multigrain Bread	490	2025-03-01	20	2025-02-17
784	Pav Bun	413	2025-02-27	20	2025-02-17
785	Plain Cake	242	2025-03-02	150	2025-02-17
786	Chilli Sauce	490	2025-03-31	10	2025-02-17
787	Rasgulla	57	2025-02-20	35	2025-02-17
788	Jalebi	482	2025-02-18	35	2025-02-17
789	Soy Sauce	334	2025-04-14	10	2025-02-17
790	Water	278	2025-03-23	10	2025-02-17
791	Chocolate Cake	173	2025-02-24	150	2025-02-17
792	Vanilla Cake	111	2025-02-26	150	2025-02-17
793	Black Forest Cake	218	2025-03-01	150	2025-02-17
794	Pineapple Cake	422	2025-02-28	150	2025-02-17
795	Red Velvet Cake	333	2025-03-01	150	2025-02-17
796	Milk	201	2025-02-18	45	2025-02-17
797	Curd	491	2025-02-19	45	2025-02-17
798	Paneer	310	2025-02-18	45	2025-02-17
799	Butter	203	2025-02-20	45	2025-02-17
800	Cheese	310	2025-02-20	45	2025-02-17
801	Samosa	133	2025-03-02	15	2025-02-17
802	Kachori	112	2025-03-02	15	2025-02-17
803	Dhokla	154	2025-03-02	15	2025-02-17
804	Vada Pav	402	2025-03-03	15	2025-02-17
805	Pani Puri	323	2025-03-03	15	2025-02-17
806	Cookies	290	2025-03-02	10	2025-02-17
807	Masala Puri	471	2025-02-25	15	2025-02-17
808	Samosa Chaat	178	2025-02-24	15	2025-02-17
809	Small Mixture	212	2025-02-24	10	2025-02-17
810	Tomato Ketchup	387	2025-04-01	10	2025-02-17
811	Milk Bread	106	2025-03-04	20	2025-02-18
812	Brown Bread	446	2025-02-27	20	2025-02-18
813	Multigrain Bread	185	2025-03-04	20	2025-02-18
814	Pav Bun	289	2025-02-28	20	2025-02-18
815	Plain Cake	93	2025-03-03	150	2025-02-18
816	Chilli Sauce	485	2025-04-13	10	2025-02-18
817	Rasgulla	143	2025-02-21	35	2025-02-18
818	Jalebi	115	2025-02-20	35	2025-02-18
819	Soy Sauce	454	2025-04-05	10	2025-02-18
820	Water	154	2025-04-03	10	2025-02-18
821	Chocolate Cake	167	2025-02-28	150	2025-02-18
822	Vanilla Cake	138	2025-02-26	150	2025-02-18
823	Black Forest Cake	276	2025-03-04	150	2025-02-18
824	Pineapple Cake	382	2025-02-27	150	2025-02-18
825	Red Velvet Cake	77	2025-02-28	150	2025-02-18
826	Milk	229	2025-02-21	45	2025-02-18
827	Curd	125	2025-02-21	45	2025-02-18
828	Paneer	53	2025-02-20	45	2025-02-18
829	Butter	199	2025-02-19	45	2025-02-18
830	Cheese	167	2025-02-19	45	2025-02-18
831	Samosa	428	2025-03-04	15	2025-02-18
832	Kachori	445	2025-03-04	15	2025-02-18
833	Dhokla	87	2025-03-03	15	2025-02-18
834	Vada Pav	427	2025-02-25	15	2025-02-18
835	Pani Puri	181	2025-03-01	15	2025-02-18
836	Cookies	221	2025-02-25	10	2025-02-18
837	Masala Puri	230	2025-02-25	15	2025-02-18
838	Samosa Chaat	214	2025-03-03	15	2025-02-18
839	Small Mixture	408	2025-03-03	10	2025-02-18
840	Tomato Ketchup	182	2025-03-27	10	2025-02-18
841	Milk Bread	165	2025-02-27	20	2025-02-19
842	Brown Bread	285	2025-03-05	20	2025-02-19
843	Multigrain Bread	108	2025-02-26	20	2025-02-19
844	Pav Bun	398	2025-03-02	20	2025-02-19
845	Plain Cake	374	2025-03-05	150	2025-02-19
846	Chilli Sauce	262	2025-03-27	10	2025-02-19
847	Rasgulla	69	2025-02-22	35	2025-02-19
848	Jalebi	86	2025-02-20	35	2025-02-19
849	Soy Sauce	368	2025-04-06	10	2025-02-19
850	Water	349	2025-04-07	10	2025-02-19
851	Chocolate Cake	305	2025-02-28	150	2025-02-19
852	Vanilla Cake	113	2025-03-05	150	2025-02-19
853	Black Forest Cake	465	2025-03-03	150	2025-02-19
854	Pineapple Cake	406	2025-03-04	150	2025-02-19
855	Red Velvet Cake	309	2025-03-04	150	2025-02-19
856	Milk	483	2025-02-20	45	2025-02-19
857	Curd	450	2025-02-20	45	2025-02-19
858	Paneer	429	2025-02-21	45	2025-02-19
859	Butter	218	2025-02-22	45	2025-02-19
860	Cheese	274	2025-02-21	45	2025-02-19
861	Samosa	482	2025-02-28	15	2025-02-19
862	Kachori	131	2025-03-02	15	2025-02-19
863	Dhokla	288	2025-02-28	15	2025-02-19
864	Vada Pav	253	2025-03-01	15	2025-02-19
865	Pani Puri	232	2025-03-01	15	2025-02-19
866	Cookies	90	2025-03-01	10	2025-02-19
867	Masala Puri	346	2025-03-04	15	2025-02-19
868	Samosa Chaat	448	2025-03-02	15	2025-02-19
869	Small Mixture	364	2025-03-03	10	2025-02-19
870	Tomato Ketchup	86	2025-04-17	10	2025-02-19
871	Milk Bread	452	2025-03-02	20	2025-02-20
872	Brown Bread	264	2025-03-01	20	2025-02-20
873	Multigrain Bread	457	2025-03-06	20	2025-02-20
874	Pav Bun	368	2025-03-06	20	2025-02-20
875	Plain Cake	175	2025-03-01	150	2025-02-20
876	Chilli Sauce	409	2025-04-02	10	2025-02-20
877	Rasgulla	491	2025-02-22	35	2025-02-20
878	Jalebi	394	2025-02-22	35	2025-02-20
879	Soy Sauce	157	2025-03-23	10	2025-02-20
880	Water	199	2025-03-27	10	2025-02-20
881	Chocolate Cake	168	2025-02-28	150	2025-02-20
882	Vanilla Cake	268	2025-03-04	150	2025-02-20
883	Black Forest Cake	424	2025-03-04	150	2025-02-20
884	Pineapple Cake	66	2025-03-06	150	2025-02-20
885	Red Velvet Cake	392	2025-02-28	150	2025-02-20
886	Milk	268	2025-02-21	45	2025-02-20
887	Curd	144	2025-02-22	45	2025-02-20
888	Paneer	346	2025-02-21	45	2025-02-20
889	Butter	217	2025-02-22	45	2025-02-20
890	Cheese	241	2025-02-23	45	2025-02-20
891	Samosa	464	2025-02-28	15	2025-02-20
892	Kachori	368	2025-02-27	15	2025-02-20
893	Dhokla	163	2025-03-01	15	2025-02-20
894	Vada Pav	62	2025-03-02	15	2025-02-20
895	Pani Puri	118	2025-03-01	15	2025-02-20
896	Cookies	250	2025-03-05	10	2025-02-20
897	Masala Puri	156	2025-03-03	15	2025-02-20
898	Samosa Chaat	70	2025-03-02	15	2025-02-20
899	Small Mixture	215	2025-03-02	10	2025-02-20
900	Tomato Ketchup	339	2025-03-22	10	2025-02-20
901	Milk Bread	205	2025-03-01	20	2025-02-21
902	Brown Bread	375	2025-03-07	20	2025-02-21
903	Multigrain Bread	162	2025-03-04	20	2025-02-21
904	Pav Bun	218	2025-03-02	20	2025-02-21
905	Plain Cake	196	2025-03-04	150	2025-02-21
906	Chilli Sauce	258	2025-04-17	10	2025-02-21
907	Rasgulla	418	2025-02-23	35	2025-02-21
908	Jalebi	481	2025-02-22	35	2025-02-21
909	Soy Sauce	448	2025-04-01	10	2025-02-21
910	Water	251	2025-04-01	10	2025-02-21
911	Chocolate Cake	399	2025-03-01	150	2025-02-21
912	Vanilla Cake	203	2025-02-28	150	2025-02-21
913	Black Forest Cake	438	2025-03-01	150	2025-02-21
914	Pineapple Cake	310	2025-03-07	150	2025-02-21
915	Red Velvet Cake	362	2025-03-05	150	2025-02-21
916	Milk	203	2025-02-24	45	2025-02-21
917	Curd	487	2025-02-24	45	2025-02-21
918	Paneer	333	2025-02-24	45	2025-02-21
919	Butter	137	2025-02-24	45	2025-02-21
920	Cheese	393	2025-02-22	45	2025-02-21
921	Samosa	85	2025-02-28	15	2025-02-21
922	Kachori	138	2025-03-05	15	2025-02-21
923	Dhokla	363	2025-03-02	15	2025-02-21
924	Vada Pav	332	2025-03-07	15	2025-02-21
925	Pani Puri	392	2025-03-02	15	2025-02-21
926	Cookies	490	2025-03-07	10	2025-02-21
927	Masala Puri	253	2025-03-03	15	2025-02-21
928	Samosa Chaat	57	2025-03-05	15	2025-02-21
929	Small Mixture	467	2025-03-02	10	2025-02-21
930	Tomato Ketchup	70	2025-04-18	10	2025-02-21
931	Milk Bread	223	2025-03-02	20	2025-02-22
932	Brown Bread	274	2025-03-08	20	2025-02-22
933	Multigrain Bread	438	2025-03-07	20	2025-02-22
934	Pav Bun	418	2025-03-08	20	2025-02-22
935	Plain Cake	361	2025-03-08	150	2025-02-22
936	Chilli Sauce	120	2025-03-27	10	2025-02-22
937	Rasgulla	497	2025-02-25	35	2025-02-22
938	Jalebi	186	2025-02-24	35	2025-02-22
939	Soy Sauce	394	2025-04-07	10	2025-02-22
940	Water	273	2025-04-15	10	2025-02-22
941	Chocolate Cake	60	2025-03-07	150	2025-02-22
942	Vanilla Cake	207	2025-03-03	150	2025-02-22
943	Black Forest Cake	415	2025-03-08	150	2025-02-22
944	Pineapple Cake	132	2025-03-02	150	2025-02-22
945	Red Velvet Cake	438	2025-03-02	150	2025-02-22
946	Milk	303	2025-02-23	45	2025-02-22
947	Curd	279	2025-02-24	45	2025-02-22
948	Paneer	228	2025-02-25	45	2025-02-22
949	Butter	131	2025-02-23	45	2025-02-22
950	Cheese	188	2025-02-23	45	2025-02-22
951	Samosa	282	2025-03-05	15	2025-02-22
952	Kachori	487	2025-03-04	15	2025-02-22
953	Dhokla	338	2025-03-06	15	2025-02-22
954	Vada Pav	337	2025-03-02	15	2025-02-22
955	Pani Puri	360	2025-03-07	15	2025-02-22
956	Cookies	283	2025-03-07	10	2025-02-22
957	Masala Puri	471	2025-03-07	15	2025-02-22
958	Samosa Chaat	137	2025-03-07	15	2025-02-22
959	Small Mixture	359	2025-03-05	10	2025-02-22
960	Tomato Ketchup	202	2025-04-12	10	2025-02-22
961	Milk Bread	467	2025-03-05	20	2025-02-23
962	Brown Bread	486	2025-03-04	20	2025-02-23
963	Multigrain Bread	346	2025-03-06	20	2025-02-23
964	Pav Bun	394	2025-03-06	20	2025-02-23
965	Plain Cake	434	2025-03-09	150	2025-02-23
966	Chilli Sauce	424	2025-04-11	10	2025-02-23
967	Rasgulla	104	2025-02-24	35	2025-02-23
968	Jalebi	125	2025-02-24	35	2025-02-23
969	Soy Sauce	303	2025-03-25	10	2025-02-23
970	Water	184	2025-04-01	10	2025-02-23
971	Chocolate Cake	451	2025-03-09	150	2025-02-23
972	Vanilla Cake	312	2025-03-03	150	2025-02-23
973	Black Forest Cake	61	2025-03-06	150	2025-02-23
974	Pineapple Cake	298	2025-03-07	150	2025-02-23
975	Red Velvet Cake	77	2025-03-02	150	2025-02-23
976	Milk	371	2025-02-24	45	2025-02-23
977	Curd	138	2025-02-26	45	2025-02-23
978	Paneer	177	2025-02-26	45	2025-02-23
979	Butter	454	2025-02-24	45	2025-02-23
980	Cheese	398	2025-02-24	45	2025-02-23
981	Samosa	219	2025-03-03	15	2025-02-23
982	Kachori	143	2025-03-07	15	2025-02-23
983	Dhokla	186	2025-03-06	15	2025-02-23
984	Vada Pav	343	2025-03-05	15	2025-02-23
985	Pani Puri	434	2025-03-09	15	2025-02-23
986	Cookies	144	2025-03-08	10	2025-02-23
987	Masala Puri	429	2025-03-09	15	2025-02-23
988	Samosa Chaat	308	2025-03-06	15	2025-02-23
989	Small Mixture	76	2025-03-06	10	2025-02-23
990	Tomato Ketchup	476	2025-04-13	10	2025-02-23
991	Milk Bread	72	2025-03-04	20	2025-02-24
992	Brown Bread	478	2025-03-10	20	2025-02-24
993	Multigrain Bread	313	2025-03-05	20	2025-02-24
994	Pav Bun	247	2025-03-04	20	2025-02-24
995	Plain Cake	200	2025-03-07	150	2025-02-24
996	Chilli Sauce	259	2025-04-16	10	2025-02-24
997	Rasgulla	83	2025-02-26	35	2025-02-24
998	Jalebi	409	2025-02-26	35	2025-02-24
999	Soy Sauce	61	2025-04-15	10	2025-02-24
1000	Water	461	2025-04-10	10	2025-02-24
1001	Chocolate Cake	303	2025-03-06	150	2025-02-24
1002	Vanilla Cake	51	2025-03-08	150	2025-02-24
1003	Black Forest Cake	422	2025-03-04	150	2025-02-24
1004	Pineapple Cake	287	2025-03-03	150	2025-02-24
1005	Red Velvet Cake	183	2025-03-10	150	2025-02-24
1006	Milk	309	2025-02-26	45	2025-02-24
1007	Curd	342	2025-02-26	45	2025-02-24
1008	Paneer	126	2025-02-26	45	2025-02-24
1009	Butter	377	2025-02-26	45	2025-02-24
1010	Cheese	259	2025-02-25	45	2025-02-24
1011	Samosa	269	2025-03-04	15	2025-02-24
1012	Kachori	336	2025-03-10	15	2025-02-24
1013	Dhokla	174	2025-03-06	15	2025-02-24
1014	Vada Pav	140	2025-03-08	15	2025-02-24
1015	Pani Puri	391	2025-03-09	15	2025-02-24
1016	Cookies	465	2025-03-04	10	2025-02-24
1017	Masala Puri	251	2025-03-07	15	2025-02-24
1018	Samosa Chaat	419	2025-03-05	15	2025-02-24
1019	Small Mixture	288	2025-03-06	10	2025-02-24
1020	Tomato Ketchup	431	2025-04-02	10	2025-02-24
1021	Milk Bread	110	2025-03-11	20	2025-02-25
1022	Brown Bread	480	2025-03-09	20	2025-02-25
1023	Multigrain Bread	311	2025-03-09	20	2025-02-25
1024	Pav Bun	51	2025-03-10	20	2025-02-25
1025	Plain Cake	495	2025-03-07	150	2025-02-25
1026	Chilli Sauce	144	2025-04-16	10	2025-02-25
1027	Rasgulla	260	2025-02-27	35	2025-02-25
1028	Jalebi	293	2025-02-28	35	2025-02-25
1029	Soy Sauce	218	2025-04-18	10	2025-02-25
1030	Water	197	2025-04-21	10	2025-02-25
1031	Chocolate Cake	415	2025-03-11	150	2025-02-25
1032	Vanilla Cake	195	2025-03-05	150	2025-02-25
1033	Black Forest Cake	347	2025-03-11	150	2025-02-25
1034	Pineapple Cake	164	2025-03-07	150	2025-02-25
1035	Red Velvet Cake	184	2025-03-04	150	2025-02-25
1036	Milk	109	2025-02-27	45	2025-02-25
